id,longitude,latitude,address,postcode
1563,-1.664528,53.817094,Springfield Commercial Centre Pudsey West Yorkshire,LS28 5LY
2451,-1.665348,53.803221,7 Richardshaw Lane Pudsey West Yorkshire,LS28 6BN
3102,-1.569375,53.78715,Domestic Road Leeds West Yorkshire,LS12 6HG
3103,-1.530569,53.748486,Holme Well Road Leeds West Yorkshire,LS10 4TQ
3364,-1.585622,53.732774,Capitol Boulevard Leeds West Yorkshire,LS27 0TS
3578,-1.543625,53.802263,5 Merrion Way Leeds West Yorkshire,LS2 8BT
6025,-1.542802,53.776626,Tunstall Road Leeds West Yorkshire,LS11 5JS
6596,-1.574181,53.762762,Milshaw Park Lane Leeds West Yorkshire,LS11 0DL
7876,-1.569947,53.801329,83-85 Kirkstall Road Leeds West Yorkshire,LS3 1HS
8013,-1.530348,53.790416,Leeds Dock Multi-Storey Car Park Leeds West Yorkshire,LS10 1LE
8679,-1.543825,53.802263,5 Merrion Way Leeds West Yorkshire,LS2 8BT
6548,-1.564783,53.767426,Old Lane Leeds West Yorkshire,LS11 8AG
9071,-1.562487,53.807893,Woodhouse Lane Leeds West Yorkshire,LS2 9JT
9058,-1.552897,53.806329,Woodhouse Lane Leeds West Yorkshire,LS2 9JT
9072,-1.552572,53.803947,Willow Terrace Road Leeds West Yorkshire,LS2 9JT
9288,-1.556111,53.807444,University Road Leeds West Yorkshire,LS2 9JT
9289,-1.551318,53.805287,Vernon Road Leeds West Yorkshire,LS2 9JT
9745,-1.605053,53.817553,Bridge Road Leeds West Yorkshire,LS5 3BL
9848,-1.493689,53.813753,144 Amberton Road Leeds West Yorkshire,LS9 6SR
9996,-1.478916,53.777745,Pontefract Lane Leeds West Yorkshire,LS9 0PS
10222,-1.545868,53.797974,Butts Court Leeds West Yorkshire,LS1 5JS
1986,-1.576803,53.776693,Bobby Collins Way Leeds West Yorkshire,LS11 8TU
11563,-1.536146,53.749337,16 Shelldrake Drive Leeds West Yorkshire,LS10 3NP
9073,-1.565638,53.818256,Cumberland Road Leeds West Yorkshire,LS2 9JT
11777,-1.579416,53.780662,151 Gelderd Road Leeds West Yorkshire,LS12 6BZ
14700,-1.552042,53.796177,29 Wellington Street Leeds West Yorkshire,LS1 4DL
8258,-1.448845,53.759097,59 Northwood Falls Woodlesford Leeds West Yorkshire,LS26 0NN
14860,-1.660724,53.807524,Town Street Pudsey West Yorkshire,LS28 6HQ
15028,-1.534125,53.787151,Jet Leeds West Yorkshire,LS10 1JU
12582,-1.661516,53.807215,Town Street Pudsey West Yorkshire,LS28 6HB
10970,-1.576615,53.797302,Unit 2 Armley Road Leeds West Yorkshire,LS12 2QN
15316,-1.530556,53.803664,Unit B Regent Street Skinner Lane Leeds West Yorkshire,LS7 1AX
15442,-1.494362,53.803045,York Road Leeds West Yorkshire,LS9 6NL
16078,-1.467562,53.808438,Leeds Halford York Road Leeds West Yorkshire,LS14 6AX
18272,-1.519337,53.86409,Harrogate Road Harrogate Road Leeds West Yorkshire,LS17 8GS
18973,-1.422951,53.799829,Thorpe Park Century Way Leeds West Yorkshire,LS15 8ZA
19610,-1.579915,53.84351,Smithy Mills Lane Adel Leeds West Yorkshire,LS16 8HF
19736,-1.505007,53.805739,487 Harehills Lane Leeds West Yorkshire,LS9 6LQ
82663,-1.609947,53.736667,Cooperative Road Morley Leeds West Yorkshire,LS27 0DQ
21878,-1.638439,53.760516,12 Greenfield Avenue Leeds West Yorkshire,LS27 7AH
21947,-1.494138,53.873063,Wike Ridge Lane Shadwell Leeds West Yorkshire,LS17 9JW
19282,-1.578959,53.826127,Spinning Acres Lane Headingley Leeds West Yorkshire,LS6 4DN
30281,-1.478825,53.746052,Carlton Road Leeds West Yorkshire,LS26 0AG
30415,-1.55781,53.79621,Wellington Place Leeds West Yorkshire,LS1 4AP
31064,-1.455955,53.837819,Naburn Approach Leeds West Yorkshire,LS14 2EG
33179,-1.55383,53.80838,Woodhouse Lane Leeds West Yorkshire,LS2 9JT
33949,-1.662805,53.795019,Pudsey Leisure Centre Pudsey West Yorkshire,LS28 7BE
34880,-1.45217,53.746165,2 Aberford Road Oulton Leeds West Yorkshire,LS26 8EJ
15163,-1.589743,53.808696,424 Kirkstall Road Riverside  Leeds West Yorkshire,LS4 2QD
35913,-1.477569,53.747774,Marsh Street Rothwell Leeds West Yorkshire,LS26 0AE
38021,-1.623884,53.74522,Bruntcliffe Road Morley Leeds West Yorkshire,LS27 0LY
38152,-1.404327,53.787308,Selby Road Garforth Leeds West Yorkshire,LS25 1NB
8698,-1.536782,53.798246,44 Victoria Gate George Street Leeds West Yorkshire,LS2 7AU
40536,-1.548084,53.849118,Lingfield Approach Leeds West Yorkshire,LS17 7HL
40529,-1.535143,53.800924,1 Gower Street Leeds West Yorkshire,LS2 7BP
41530,-1.554961,53.851546,Leeds West Yorkshire,LS17 7AQ
42248,-1.575275,53.81955,82 Headingley Lane Leeds West Yorkshire,LS6 2DH
42679,-1.473725,53.773267,M1 J45 Skelton Lake Leeds West Yorkshire,LS9 0AS
45124,-1.485045,53.828923,1 Elmete Way Roundhay Leeds West Yorkshire,LS8 2NA
30868,-1.603779,53.815416,Savins Mill Way Leeds West Yorkshire,LS5 3RP
45156,-1.575462,53.757926,Dewsbury Road Leeds West Yorkshire,LS11 8LU
46588,-1.513048,53.773966,53 Pontefract Road Leeds West Yorkshire,LS10 1SW
48681,-1.533852,53.783588,7 Whitehouse Street Leeds West Yorkshire,LS10 1AD
51360,-1.569975,53.816712,29 Victoria Gardens Leeds West Yorkshire,LS6 1BN
51362,-1.568628,53.814693,Headingley Lane Leeds West Yorkshire,LS6 1PF
50332,-1.591715,53.79593,Carr Crofts Leeds West Yorkshire,LS12 3HB
52003,-1.514117,53.816558,171 Harehills Lane Leeds West Yorkshire,LS8 3QE
54251,-1.525082,53.780899,Low Road Hunslet Leeds West Yorkshire,LS10 1QR
54934,-1.505909,53.827179,1 Gledhow Lane Leeds West Yorkshire,LS8 1SD
2442,-1.556904,53.795369,7 Whitehall Road Leeds West Yorkshire,LS1 4AW
55888,-1.596262,53.782167,Whitehall Road East Leeds West Yorkshire,LS12 4RJ
1438,-1.546705,53.80491,Woodhouse Lane Leeds West Yorkshire,LS2 3AX
62384,-1.568532,53.745956,McDonald's Dewsbury Wide Lane Leeds West Yorkshire,LS27 8PL
64339,-1.54453,53.79448,Swinegate Leeds West Yorkshire,LS1 4AG
57042,-1.641023,53.838497,Wm Morrison Supermarkets PLC Leeds West Yorkshire,LS18 5BP
56040,-1.510859,53.812889,Harehills Lane Leeds West Yorkshire,LS8 3RG
67262,-1.586714,53.807468,Asda Stores Ltd Leeds West Yorkshire,LS4 2EZ
69065,-1.564536,53.767391,Old Lane Leeds West Yorkshire,LS11 8AG
69060,-1.53122,53.748959,Asda Stores Ltd Leeds West Yorkshire,LS10 4TQ
67376,-1.459946,53.821952,5 Seacroft Avenue Leeds West Yorkshire,LS14 6JD
69465,-1.54944,53.79511,Princes Square Leeds West Yorkshire,LS1 4HT
70005,-1.55627,53.794578,Whitehall Road Leeds West Yorkshire,LS1 4BN
73661,-1.513185,53.843973,Devonshire avenue Leeds West Yorkshire,LS8 1AY
74707,-1.464532,53.75878,10 De Lacies Court Woodlesford Leeds West Yorkshire,LS26 8WJ
76454,-1.594462,53.82695,Leeds West Yorkshire,LS6 3FH
76456,-1.592128,53.828308,Leeds West Yorkshire,LS6 3HJ
7420,-1.552069,53.795584,Whitehall Quay 4 Leeds West Yorkshire,LS1 4HR
54395,-1.565562,53.802172,Burley Road Leeds West Yorkshire,LS3 1JP
51494,-1.601754,53.816987,Kirkstall Lane Leeds West Yorkshire,LS5 3BE
77823,-1.568321,53.801319,Kirkstall Road Leeds West Yorkshire,LS3 1JJ
48050,-1.643991,53.836322,Horsforth Park Car Park Leeds West Yorkshire,LS18 5DX
62836,-1.452687,53.744358,Rothwell Sports Centre Leeds West Yorkshire,LS26 8EL
33896,-1.598274,53.745492,Annie Street Leeds West Yorkshire,LS27 8QH
52486,-1.605554,53.745559,Queensway Morley Leeds West Yorkshire,LS27 9JP
80275,-1.578114,53.826232,Headingley Leeds West Yorkshire,LS6 4FE
82310,-1.580623,53.80389,Lennox Road Burley Leeds West Yorkshire,LS4 2BL
82440,-1.607882,53.855381,Holt Park Active Leeds West Yorkshire,LS16 7RX
82763,-1.668807,53.834417,26 Weavers Close  Horsforth Leeds West Yorkshire,LS18 4GL
84015,-1.511286,53.822432,361 Roundhay Rd Leeds West Yorkshire,LS8 4BU
86503,-1.450179,53.742692,Wakefield Road Leeds West Yorkshire,LS26 8EL
86737,-1.477569,53.747774,Marsh Street Rothwell Leeds West Yorkshire,LS26 0AE
86745,-1.609018,53.735458,Asda Stores Ltd Leeds West Yorkshire,LS27 0BP
88813,-1.602297,53.81348,Unit 4 Savins Mill Way Leeds West Yorkshire,LS5 3RP
92346,-1.576325,53.763131,White Rose Business Park Leeds West Yorkshire,LS11 0LT
92351,-1.42758,53.794286,Thorpe Park Century Way Leeds West Yorkshire,LS15 8ZA
64383,-1.584643,53.789558,1 Lansdowne Street West Yorkshire Leeds West Yorkshire,LS12 4BP
42557,-1.546119,53.825952,Scott Hall Sports Centre West Yorkshire Leeds West Yorkshire,LS7 3DT
15379,-1.539288,53.829725,Harrogate Road Chapel Allerton Leeds West Yorkshire,LS7 3PY
94412,-1.552042,53.796177,29 Wellington Street Leeds West Yorkshire,LS1 4DL
95164,-1.42719,53.79855,4100Park Approach Leeds West Yorkshire,LS15 8GB
90853,-1.575701,53.7652,Units 26/27 Millshaw Industrial Estate Leeds West Yorkshire,LS12 4PL
8270,-1.539957,53.787174,Junction Street Leeds West Yorkshire,LS10 1ET
95884,-1.62923,53.74734,Turnberry Park Road Leeds West Yorkshire,LS27 7LE
96250,-1.549335,53.788719,Ingram Street Leeds West Yorkshire,LS11 9AW
96904,-1.525645,53.82597,21 Meadow Walk Leeds West Yorkshire,LS7 4RN
96245,-1.621305,53.795536,"McDoanlds Bramley, 38 Butt Lane Leeds West Yorkshire",LS13 4JE
96372,-1.58404,53.80476,Kirkstall Road Leeds West Yorkshire,LS4 2DG
96600,-1.513223,53.799889,Torre Road Leeds West Yorkshire,LS9 7QL
50766,-1.544678,53.795047,Swinegate Leeds West Yorkshire,LS1 4AG
96636,-1.582697,53.777273,"City West Business Park The Blvd, Holbeck Leeds West Yorkshire",LS12 6BG
101478,-1.641668,53.840262,Church Lane Horseforth Leeds West Yorkshire,LS18 5LA
101538,-1.479809,53.74724,Butcher Lane Leeds West Yorkshire,LS26 0DB
101539,-1.598276,53.743019,High Street Leeds West Yorkshire,LS27 8AQ
101908,-1.631968,53.748327,Unit 1A Plantation Way Leeds West Yorkshire,LS27 7FP
105628,-1.480458,53.778126,Temple Green Park and RIde  Elland Road Leeds West Yorkshire,LS9 0PS
96183,-1.546969,53.804981,Woodhouse Lane Leeds West Yorkshire,LS2 3AX
101501,-1.518032,53.767563,Stourton Park and Ride Belle Isle Leeds West Yorkshire,LS10 3DD
108282,-1.556221,53.797649,Castle Street Leeds West Yorkshire,LS1 4UE
120098,-1.591225,53.837599,Weetwood Approach Leeds West Yorkshire,LS16 5PS
123328,-1.544626,53.794065,"Sovereign Square, Swinegate, Leeds West Yorkshire",LS1 4AG
19572,-1.6018,53.739452,Quarry Court High Street Morley Leeds West Yorkshire,LS27 0BY
19608,-1.620122,53.742163,Bruntcliffe Road Morley Leeds West Yorkshire,LS27 0LF
19613,-1.532585,53.805428,Bristol Street Leeds West Yorkshire,LS7 1DH
125598,-1.449285,53.870908,12 Syke Grn Scarcroft Leeds West Yorkshire,LS14 3BS
